epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,13989.8,0.9004,0.77944,1.08663,0.79916,0.70775,0.76134,0.53792,1.08136,1.02118,1.24326,7.925e-05,7.925e-05,7.925e-05
70,14189.2,0.88284,0.77387,1.08033,0.8081,0.69648,0.76092,0.53741,1.08097,1.02664,1.24557,7.30625e-05,7.30625e-05,7.30625e-05
71,14411.9,0.84966,0.68912,1.07327,0.79504,0.70316,0.7585,0.53437,1.09083,1.03233,1.25372,6.6875e-05,6.6875e-05,6.6875e-05
72,14606.7,0.83701,0.66721,1.06205,0.78675,0.70493,0.75555,0.53678,1.08242,1.0188,1.24575,6.06875e-05,6.06875e-05,6.06875e-05
73,14803.5,0.82872,0.6553,1.05937,0.8077,0.69072,0.7574,0.5353,1.08243,1.01754,1.24281,5.45e-05,5.45e-05,5.45e-05
74,15002,0.82489,0.65339,1.05831,0.78608,0.70893,0.75631,0.53644,1.07971,1.02569,1.24191,4.83125e-05,4.83125e-05,4.83125e-05
75,15197.5,0.82175,0.64402,1.05555,0.79855,0.70009,0.75622,0.53575,1.07927,1.0249,1.24227,4.2125e-05,4.2125e-05,4.2125e-05
76,15394,0.81798,0.64283,1.05145,0.81924,0.68672,0.75792,0.53799,1.08017,1.03063,1.24258,3.59375e-05,3.59375e-05,3.59375e-05
77,15597.9,0.81397,0.63829,1.04778,0.82229,0.68322,0.75719,0.53915,1.07772,1.02677,1.24189,2.975e-05,2.975e-05,2.975e-05
78,15799.9,0.80294,0.63063,1.04855,0.82251,0.68284,0.75899,0.5383,1.07771,1.02101,1.2412,2.35625e-05,2.35625e-05,2.35625e-05
79,16017.3,0.80574,0.62964,1.04354,0.81395,0.68654,0.75833,0.53834,1.07726,1.01737,1.24121,1.7375e-05,1.7375e-05,1.7375e-05
80,16222,0.79721,0.62293,1.04452,0.80818,0.692,0.75683,0.53861,1.07643,1.01507,1.24083,1.11875e-05,1.11875e-05,1.11875e-05
